text,intent
Good day ?,greeting
Any work from home please,jobs
Do I pay to apply?,pricing
Need customer care,contact
Matching logic,ai
I want to get staff,hiring
Change CV,profile
Greetings how's life?,greeting
List remote jobs,jobs
Is it totally free?,pricing
Can I message the team?,contact
How does it match people?,ai
Need designers for a short task,hiring
My bio is missing,profile
Hello how are you?,greeting
Are there coding tasks in Phnom Penh?,jobs
Is it cost-free?,pricing
Can I message the team?,contact
What is the algorithm? please,ai
Finding candidates,hiring
Upload photo,profile
Hia,greeting
remote jobs available locally?,jobs
What is the price?,pricing
How to call you?,contact
How does it work?,ai
Start advertise a role,hiring
Upload bio,profile
Hi hi KhmerWork what's up?,greeting
development work available from home?,jobs
Is it unpaid?,pricing
How to reach support?,contact
How does it calculate scores?,ai
I want to hire someone,hiring
Upload photo,profile
Good afternoon there how's your day?,greeting
Get me freelance gigs locally,jobs
Is it complimentary?,pricing
Can I contact you? now,contact
Matching mechanism thanks,ai
Finding talents,hiring
Upload portfolio now,profile
Hello there,greeting
I need roles online thanks,jobs
What is the price?,pricing
Need assistance,contact
Is it human-like?,ai
Need experts for contract work,hiring
My portfolio wont save,profile
Hello there how are things?,greeting
Show me remote jobs in Phnom Penh thanks,jobs
Tell me the pricing structure please,pricing
How to call you?,contact
Is it human-like?,ai
Need experts for contract work,hiring
Change profile,profile
Welcome system now,greeting
Looking for freelance gigs remote,jobs
Do I need to pay?,pricing
Where is the office?,contact
Tell me about KhmerBot,ai
How to add a job? help,hiring
Upload bio,profile
Yo,greeting
Get me roles in Cambodia,jobs
Is it complimentary?,pricing
How to talk to human? now,contact
Is it accurate?,ai
Start list a vacancy,hiring
My CV needs help please,profile
Good morning,greeting
I need a job in Asia,jobs
Pricing for companies?,pricing
How to contact you?,contact
Is it smart?,ai
Start advertise a role,hiring
Change skills,profile
Greetings all,greeting
openings available online?,jobs
How much subscription fee? please,pricing
Need help with account now,contact
How does it match people?,ai
Start post a job,hiring
Change profile,profile
Good afternoon assistant,greeting
Looking for a job from home,jobs
How much subscription fee?,pricing
How to contact you?,contact
Is it reliable?,ai
I want to find freelancers,hiring
Update my photo,profile
Welcome how is it going?,greeting
Show me IT work in Siem Reap,jobs
Pricing for users?,pricing
Where is the contact page?,contact
Is it intelligent?,ai
Start list a vacancy,hiring
How to edit portfolio?,profile
Good evening,greeting
Get me work,jobs
How much plan costs? thanks,pricing
Need support,contact
How does it match people?,ai
I want to hire someone,hiring
Update my skills,profile
Welcome ~,greeting
Are there freelance gigs in Phnom Penh?,jobs
Pricing for freelancers?,pricing
Need tech support,contact
Matching process please,ai
Need candidates for contract work,hiring
How to edit bio? please,profile
Hi hi ~,greeting
roles available locally?,jobs
How much is the fee?,pricing
Can I reach support?,contact
What is KhmerBot?,ai
Start start hiring,hiring
How to edit profile?,profile
Good day ...,greeting
Search for development work,jobs
Is it complimentary?,pricing
Can I talk to human?,contact
How does it work?,ai
I want to find freelancers,hiring
How to edit resume?,profile
Good day all how's your day?,greeting
I want openings anywhere,jobs
Is it totally free?,pricing
Need assistance help,contact
How does it recommend jobs?,ai
Start post a job now,hiring
Update my bio,profile
Welcome what's up?,greeting
Show me gigs,jobs
Tell me the rate list now,pricing
Give me telegram link,contact
What is this AI?,ai
Need talents for long-term,hiring
Update my skills,profile
Hello,greeting
Looking for design jobs anywhere,jobs
How much are the rates?,pricing
Need help with account,contact
Tell me about this AI,ai
I want to hire someone,hiring
Upload CV please,profile
Welcome folks now,greeting
Are there a job in Phnom Penh?,jobs
Is it cost-free?,pricing
Need help with account now,contact
Is it accurate?,ai
How to advertise a role?,hiring
Update my skills,profile
Howdy,greeting
Any freelance gigs in Phnom Penh,jobs
